,best_accuracy,max_accuracy,min_accuracy,mean_accuracy,PI(best_fitness over naive),PI(mean over naive mean),PI(max over naive max),PRD(max vs best_fitness),skewness,kurtosis,std,shapiro-wilk,d'agostino's,anderson,normality,50%(1.4142 std),75%(2.0000 std),87.5%(2.8284 std),88.89%(3.0000 std),93.75%(4.0000 std),96%(5.0000 std),68%(1.0000 std),98%(2.0000 std),99.7%(3.0000 std)
Aged DE Tuned,0.94,0.879999995,0.620000005,0.7970666647799999,0.10588235294117644,0.07998735045590506,0.03529408253287305,0.0659,-0.5636830124658989,1.050164152059224,0.03769347619122793,not normal,not normal,normal,not normal,"[0.74376, 0.850373]","[0.72168, 0.872454]","[0.690453, 0.90368]","[0.683986, 0.910147]","[0.646293, 0.947841]","[0.608599, 0.985534]",/,/,/
Aged HS Tuned,0.87,0.860000014,0.50999999,0.77773333163,0.023529411764705903,0.053791605273270024,0.011764693785467552,0.0116,-1.3182213571881531,3.678665116778953,0.04865614313166308,not normal,not normal,normal,not normal,"[0.708923, 0.846544]","[0.680421, 0.875046]","[0.640113, 0.915354]","[0.631765, 0.923702]","[0.583109, 0.972358]","[0.534453, 1.0]",/,/,/
Aged PSO Tuned,0.9,0.910000026,0.769999981,0.8388333320366664,0.05882352941176476,0.1365791944020459,0.07058823565397923,0.011,-0.17478447766769611,-0.23868791905389353,0.025726351399256685,not normal,normal,normal,normal,/,/,/,/,/,/,"[0.813107, 0.86456]","[0.787381, 0.890286]","[0.761654, 0.916012]"
Aged Byopt DE Tuned,0.86,0.860000014,0.649999976,0.78629999726,0.011764705882352951,0.06539902899928793,0.011764693785467552,0.0,-0.6547409930818449,1.0807587246185588,0.03528161805292384,not normal,not normal,normal,not normal,"[0.736404, 0.836196]","[0.715737, 0.856863]","[0.686509, 0.886091]","[0.680455, 0.892145]","[0.645174, 0.927426]","[0.609892, 0.962708]",/,/,/
Aged Byopt HS Tuned,0.86,0.850000024,0.569999993,0.7702333312433334,0.011764705882352951,0.043629462125243566,0.0,0.0117,-1.3851115611238292,3.628307396811173,0.044273535870307155,not normal,not normal,normal,not normal,"[0.707621, 0.832846]","[0.681686, 0.85878]","[0.645009, 0.895458]","[0.637413, 0.903054]","[0.593139, 0.947327]","[0.548866, 0.991601]",/,/,/
Aged Byopt PSO Tuned,0.88,0.910000026,0.709999979,0.8061666648466665,0.03529411764705886,0.09231741693015727,0.07058823565397923,0.0335,-0.18300831936591672,0.020674642496261608,0.03446153943266955,not normal,normal,normal,normal,/,/,/,/,/,/,"[0.771705, 0.840628]","[0.737244, 0.87509]","[0.702782, 0.909551]"
DE Tuned,0.88,0.879999995,0.550000012,0.7838666648533332,0.03529411764705886,0.062101979536831886,0.03529408253287305,0.0,-1.2467708751128328,2.593042565027828,0.04880219469246874,not normal,not normal,normal,not normal,"[0.71485, 0.852883]","[0.686262, 0.881471]","[0.645833, 0.9219]","[0.63746, 0.930273]","[0.588658, 0.979075]","[0.539856, 1.0]",/,/,/
HS Tuned,0.89,0.879999995,0.49000001,0.7824333319366668,0.047058823529411806,0.060159881733232085,0.03529408253287305,0.0113,-1.9004748519141965,9.056414164621826,0.047854419491158255,not normal,not normal,normal,not normal,"[0.714757, 0.85011]","[0.686724, 0.878142]","[0.647081, 0.917786]","[0.63887, 0.925997]","[0.591016, 0.973851]","[0.543161, 1.0]",/,/,/
PSO Tuned,0.89,0.870000005,0.430000007,0.7536333314433333,0.047058823529411806,0.021137253388200362,0.023529388747405493,0.0227,-1.2103835908616436,3.3749370316316276,0.059881141316006574,not normal,not normal,normal,not normal,"[0.668949, 0.838318]","[0.633871, 0.873396]","[0.584264, 0.923003]","[0.57399, 0.933277]","[0.514109, 0.993158]","[0.454228, 1.0]",/,/,/
Byopt DE Tuned,0.9,0.899999976,0.74000001,0.8161333295733332,0.05882352941176476,0.1058217727220357,0.058823471280278546,0.0,-0.1973531141327131,-0.005679674871370999,0.02777806425444836,not normal,normal,normal,normal,/,/,/,/,/,/,"[0.788355, 0.843911]","[0.760577, 0.871689]","[0.732799, 0.899468]"
Byopt HS Tuned,0.85,0.850000024,0.639999986,0.77053333092,0.0,0.044035947392106686,0.0,0.0,-0.41385799045194915,0.6492203737123976,0.033015382903898466,not normal,not normal,normal,not normal,"[0.723843, 0.817224]","[0.704503, 0.836564]","[0.677152, 0.863915]","[0.671487, 0.869579]","[0.638472, 0.902595]","[0.605456, 0.93561]",/,/,/
Byopt PSO Tuned,0.85,0.899999976,0.310000002,0.7526666663699999,0.0,0.01982746827553882,0.058823471280278546,0.0571,-1.670601902012892,4.6098618239046605,0.07828997449114507,not normal,not normal,normal,not normal,"[0.641948, 0.863385]","[0.596087, 0.909247]","[0.531229, 0.974104]","[0.517797, 0.987537]","[0.439507, 1.0]","[0.361217, 1.0]",/,/,/
Voting,0.910000026,0.910000026,0.560000002,0.8001333315166667,0.07058826588235292,0.08414253775705528,0.07058823565397923,0.0,-0.8796679422929884,2.8135644003945255,0.043523517381500905,not normal,not normal,normal,not normal,"[0.738582, 0.861685]","[0.713086, 0.88718]","[0.67703, 0.923236]","[0.669563, 0.930704]","[0.626039, 0.974227]","[0.582516, 1.0]",/,/,/
Naive,0.85,0.850000024,0.600000024,0.7380333338566667,0.0,0.0,0.0,0.0,-0.1936031479164227,0.3105379653800302,0.042612809083744596,not normal,normal,normal,normal,/,/,/,/,/,/,"[0.695421, 0.780646]","[0.652808, 0.823259]","[0.610195, 0.865872]"
