,acc
0,0.790000021
1,0.810000002
2,0.819999993
3,0.779999971
4,0.800000012
5,0.790000021
6,0.810000002
7,0.790000021
8,0.800000012
9,0.819999993
10,0.779999971
11,0.800000012
12,0.670000017
13,0.730000019
14,0.75999999
15,0.800000012
16,0.769999981
17,0.75999999
18,0.779999971
19,0.730000019
20,0.75999999
21,0.769999981
22,0.790000021
23,0.839999974
24,0.75
25,0.829999983
26,0.790000021
27,0.790000021
28,0.850000024
29,0.75
30,0.819999993
31,0.810000002
32,0.800000012
33,0.810000002
34,0.74000001
35,0.819999993
36,0.769999981
37,0.75
38,0.769999981
39,0.819999993
40,0.810000002
41,0.800000012
42,0.790000021
43,0.860000014
44,0.790000021
45,0.730000019
46,0.819999993
47,0.810000002
48,0.790000021
49,0.839999974
50,0.75999999
51,0.75999999
52,0.75999999
53,0.730000019
54,0.790000021
55,0.779999971
56,0.829999983
57,0.769999981
58,0.779999971
59,0.75999999
60,0.800000012
61,0.819999993
62,0.689999998
63,0.800000012
64,0.779999971
65,0.790000021
66,0.779999971
67,0.75
68,0.74000001
69,0.75
70,0.790000021
71,0.800000012
72,0.720000029
73,0.670000017
74,0.819999993
75,0.75999999
76,0.800000012
77,0.779999971
78,0.800000012
79,0.850000024
80,0.819999993
81,0.769999981
82,0.839999974
83,0.790000021
84,0.829999983
85,0.790000021
86,0.800000012
87,0.779999971
88,0.779999971
89,0.74000001
90,0.819999993
91,0.800000012
92,0.779999971
93,0.800000012
94,0.75999999
95,0.75
96,0.810000002
97,0.819999993
98,0.800000012
99,0.75999999
100,0.819999993
101,0.769999981
102,0.790000021
103,0.790000021
104,0.800000012
105,0.75
106,0.819999993
107,0.850000024
108,0.689999998
109,0.75999999
110,0.730000019
111,0.790000021
112,0.779999971
113,0.74000001
114,0.75
115,0.800000012
116,0.850000024
117,0.810000002
118,0.75
119,0.769999981
120,0.75999999
121,0.790000021
122,0.730000019
123,0.790000021
124,0.810000002
125,0.75
126,0.769999981
127,0.790000021
128,0.819999993
129,0.75999999
130,0.800000012
131,0.75999999
132,0.74000001
133,0.75
134,0.779999971
135,0.790000021
136,0.800000012
137,0.790000021
138,0.699999988
139,0.819999993
140,0.810000002
141,0.819999993
142,0.810000002
143,0.800000012
144,0.75999999
145,0.800000012
146,0.810000002
147,0.829999983
148,0.75
149,0.769999981
150,0.779999971
151,0.819999993
152,0.790000021
153,0.810000002
154,0.779999971
155,0.779999971
156,0.800000012
157,0.75
158,0.819999993
159,0.74000001
160,0.730000019
161,0.790000021
162,0.769999981
163,0.829999983
164,0.779999971
165,0.75
166,0.800000012
167,0.829999983
168,0.790000021
169,0.839999974
170,0.779999971
171,0.699999988
172,0.810000002
173,0.819999993
174,0.769999981
175,0.839999974
176,0.75999999
177,0.819999993
178,0.779999971
179,0.839999974
180,0.75999999
181,0.829999983
182,0.839999974
183,0.800000012
184,0.75
185,0.769999981
186,0.779999971
187,0.769999981
188,0.810000002
189,0.810000002
190,0.769999981
191,0.769999981
192,0.75
193,0.819999993
194,0.769999981
195,0.800000012
196,0.779999971
197,0.790000021
198,0.800000012
199,0.839999974
200,0.670000017
201,0.779999971
202,0.790000021
203,0.769999981
204,0.810000002
205,0.769999981
206,0.769999981
207,0.790000021
208,0.829999983
209,0.790000021
210,0.829999983
211,0.790000021
212,0.810000002
213,0.769999981
214,0.810000002
215,0.810000002
216,0.839999974
217,0.790000021
218,0.769999981
219,0.769999981
220,0.829999983
221,0.779999971
222,0.829999983
223,0.850000024
224,0.810000002
225,0.779999971
226,0.829999983
227,0.810000002
228,0.790000021
229,0.75
230,0.800000012
231,0.75
232,0.75999999
233,0.790000021
234,0.779999971
235,0.819999993
236,0.74000001
237,0.769999981
238,0.649999976
239,0.839999974
240,0.769999981
241,0.769999981
242,0.790000021
243,0.800000012
244,0.779999971
245,0.839999974
246,0.74000001
247,0.810000002
248,0.810000002
249,0.850000024
250,0.730000019
251,0.769999981
252,0.819999993
253,0.779999971
254,0.810000002
255,0.74000001
256,0.779999971
257,0.779999971
258,0.730000019
259,0.800000012
260,0.819999993
261,0.819999993
262,0.819999993
263,0.74000001
264,0.75
265,0.839999974
266,0.75
267,0.779999971
268,0.839999974
269,0.790000021
270,0.850000024
271,0.800000012
272,0.779999971
273,0.800000012
274,0.689999998
275,0.860000014
276,0.769999981
277,0.779999971
278,0.819999993
279,0.800000012
280,0.790000021
281,0.74000001
282,0.74000001
283,0.779999971
284,0.74000001
285,0.790000021
286,0.810000002
287,0.769999981
288,0.829999983
289,0.779999971
290,0.769999981
291,0.779999971
292,0.810000002
293,0.800000012
294,0.819999993
295,0.74000001
296,0.839999974
297,0.769999981
298,0.769999981
299,0.810000002
