,acc
0,0.800000012
1,0.769999981
2,0.769999981
3,0.839999974
4,0.790000021
5,0.839999974
6,0.810000002
7,0.819999993
8,0.819999993
9,0.839999974
10,0.779999971
11,0.779999971
12,0.839999974
13,0.829999983
14,0.709999979
15,0.829999983
16,0.850000024
17,0.829999983
18,0.819999993
19,0.839999974
20,0.819999993
21,0.800000012
22,0.800000012
23,0.779999971
24,0.839999974
25,0.819999993
26,0.800000012
27,0.850000024
28,0.860000014
29,0.829999983
30,0.769999981
31,0.810000002
32,0.790000021
33,0.74000001
34,0.769999981
35,0.730000019
36,0.810000002
37,0.800000012
38,0.800000012
39,0.769999981
40,0.810000002
41,0.769999981
42,0.790000021
43,0.790000021
44,0.829999983
45,0.779999971
46,0.819999993
47,0.829999983
48,0.860000014
49,0.779999971
50,0.810000002
51,0.850000024
52,0.819999993
53,0.75
54,0.790000021
55,0.819999993
56,0.779999971
57,0.850000024
58,0.790000021
59,0.779999971
60,0.790000021
61,0.860000014
62,0.819999993
63,0.839999974
64,0.769999981
65,0.819999993
66,0.800000012
67,0.839999974
68,0.769999981
69,0.860000014
70,0.850000024
71,0.839999974
72,0.810000002
73,0.709999979
74,0.850000024
75,0.829999983
76,0.860000014
77,0.810000002
78,0.810000002
79,0.769999981
80,0.829999983
81,0.800000012
82,0.800000012
83,0.74000001
84,0.800000012
85,0.779999971
86,0.779999971
87,0.829999983
88,0.779999971
89,0.779999971
90,0.839999974
91,0.790000021
92,0.790000021
93,0.790000021
94,0.790000021
95,0.839999974
96,0.790000021
97,0.810000002
98,0.819999993
99,0.819999993
100,0.810000002
101,0.819999993
102,0.870000005
103,0.819999993
104,0.75999999
105,0.819999993
106,0.800000012
107,0.810000002
108,0.819999993
109,0.779999971
110,0.769999981
111,0.800000012
112,0.800000012
113,0.810000002
114,0.850000024
115,0.829999983
116,0.819999993
117,0.779999971
118,0.790000021
119,0.819999993
120,0.819999993
121,0.75
122,0.829999983
123,0.790000021
124,0.779999971
125,0.709999979
126,0.779999971
127,0.790000021
128,0.75
129,0.819999993
130,0.839999974
131,0.879999995
132,0.720000029
133,0.850000024
134,0.800000012
135,0.860000014
136,0.819999993
137,0.800000012
138,0.75
139,0.769999981
140,0.819999993
141,0.850000024
142,0.829999983
143,0.819999993
144,0.819999993
145,0.790000021
146,0.75
147,0.860000014
148,0.819999993
149,0.779999971
150,0.769999981
151,0.790000021
152,0.819999993
153,0.829999983
154,0.860000014
155,0.75999999
156,0.860000014
157,0.790000021
158,0.870000005
159,0.810000002
160,0.790000021
161,0.839999974
162,0.810000002
163,0.850000024
164,0.819999993
165,0.829999983
166,0.769999981
167,0.850000024
168,0.810000002
169,0.839999974
170,0.800000012
171,0.810000002
172,0.790000021
173,0.769999981
174,0.730000019
175,0.790000021
176,0.800000012
177,0.810000002
178,0.730000019
179,0.800000012
180,0.800000012
181,0.810000002
182,0.769999981
183,0.790000021
184,0.74000001
185,0.790000021
186,0.800000012
187,0.829999983
188,0.810000002
189,0.75999999
190,0.779999971
191,0.819999993
192,0.829999983
193,0.819999993
194,0.790000021
195,0.819999993
196,0.790000021
197,0.819999993
198,0.860000014
199,0.850000024
200,0.839999974
201,0.870000005
202,0.810000002
203,0.819999993
204,0.769999981
205,0.779999971
206,0.75999999
207,0.779999971
208,0.779999971
209,0.769999981
210,0.75
211,0.790000021
212,0.850000024
213,0.829999983
214,0.730000019
215,0.75
216,0.790000021
217,0.769999981
218,0.800000012
219,0.819999993
220,0.769999981
221,0.810000002
222,0.800000012
223,0.790000021
224,0.819999993
225,0.850000024
226,0.829999983
227,0.850000024
228,0.800000012
229,0.790000021
230,0.769999981
231,0.779999971
232,0.790000021
233,0.790000021
234,0.790000021
235,0.850000024
236,0.779999971
237,0.810000002
238,0.779999971
239,0.910000026
240,0.810000002
241,0.790000021
242,0.829999983
243,0.839999974
244,0.829999983
245,0.779999971
246,0.860000014
247,0.769999981
248,0.800000012
249,0.819999993
250,0.769999981
251,0.790000021
252,0.860000014
253,0.850000024
254,0.810000002
255,0.879999995
256,0.850000024
257,0.810000002
258,0.879999995
259,0.769999981
260,0.75999999
261,0.730000019
262,0.829999983
263,0.800000012
264,0.810000002
265,0.829999983
266,0.819999993
267,0.850000024
268,0.769999981
269,0.810000002
270,0.819999993
271,0.779999971
272,0.839999974
273,0.790000021
274,0.790000021
275,0.839999974
276,0.850000024
277,0.810000002
278,0.75999999
279,0.829999983
280,0.75999999
281,0.839999974
282,0.800000012
283,0.790000021
284,0.870000005
285,0.819999993
286,0.779999971
287,0.810000002
288,0.769999981
289,0.720000029
290,0.860000014
291,0.829999983
292,0.769999981
293,0.779999971
294,0.860000014
295,0.800000012
296,0.839999974
297,0.829999983
298,0.800000012
299,0.860000014
