,acc
0,0.800000012
1,0.730000019
2,0.829999983
3,0.810000002
4,0.879999995
5,0.879999995
6,0.819999993
7,0.810000002
8,0.800000012
9,0.790000021
10,0.860000014
11,0.829999983
12,0.75999999
13,0.819999993
14,0.839999974
15,0.779999971
16,0.810000002
17,0.850000024
18,0.779999971
19,0.839999974
20,0.769999981
21,0.839999974
22,0.769999981
23,0.850000024
24,0.810000002
25,0.810000002
26,0.829999983
27,0.790000021
28,0.800000012
29,0.800000012
30,0.74000001
31,0.769999981
32,0.790000021
33,0.829999983
34,0.819999993
35,0.839999974
36,0.870000005
37,0.790000021
38,0.850000024
39,0.769999981
40,0.870000005
41,0.829999983
42,0.620000005
43,0.790000021
44,0.800000012
45,0.810000002
46,0.790000021
47,0.75999999
48,0.800000012
49,0.769999981
50,0.850000024
51,0.810000002
52,0.800000012
53,0.790000021
54,0.810000002
55,0.819999993
56,0.779999971
57,0.800000012
58,0.75999999
59,0.75999999
60,0.800000012
61,0.790000021
62,0.800000012
63,0.790000021
64,0.810000002
65,0.819999993
66,0.800000012
67,0.790000021
68,0.779999971
69,0.810000002
70,0.810000002
71,0.769999981
72,0.810000002
73,0.810000002
74,0.810000002
75,0.839999974
76,0.769999981
77,0.75999999
78,0.75999999
79,0.860000014
80,0.769999981
81,0.800000012
82,0.829999983
83,0.75
84,0.810000002
85,0.839999974
86,0.810000002
87,0.75
88,0.879999995
89,0.790000021
90,0.75999999
91,0.75999999
92,0.829999983
93,0.800000012
94,0.75999999
95,0.819999993
96,0.75
97,0.819999993
98,0.839999974
99,0.819999993
100,0.800000012
101,0.810000002
102,0.75999999
103,0.730000019
104,0.850000024
105,0.819999993
106,0.790000021
107,0.75999999
108,0.769999981
109,0.769999981
110,0.839999974
111,0.870000005
112,0.779999971
113,0.810000002
114,0.800000012
115,0.769999981
116,0.829999983
117,0.839999974
118,0.860000014
119,0.810000002
120,0.74000001
121,0.810000002
122,0.810000002
123,0.779999971
124,0.800000012
125,0.839999974
126,0.779999971
127,0.74000001
128,0.790000021
129,0.860000014
130,0.829999983
131,0.75999999
132,0.75999999
133,0.779999971
134,0.779999971
135,0.810000002
136,0.850000024
137,0.810000002
138,0.819999993
139,0.819999993
140,0.800000012
141,0.790000021
142,0.810000002
143,0.850000024
144,0.829999983
145,0.819999993
146,0.709999979
147,0.829999983
148,0.800000012
149,0.829999983
150,0.839999974
151,0.800000012
152,0.709999979
153,0.790000021
154,0.699999988
155,0.829999983
156,0.819999993
157,0.74000001
158,0.779999971
159,0.810000002
160,0.75999999
161,0.800000012
162,0.800000012
163,0.75
164,0.779999971
165,0.850000024
166,0.800000012
167,0.74000001
168,0.75
169,0.790000021
170,0.730000019
171,0.74000001
172,0.730000019
173,0.819999993
174,0.819999993
175,0.829999983
176,0.779999971
177,0.810000002
178,0.800000012
179,0.810000002
180,0.839999974
181,0.819999993
182,0.720000029
183,0.790000021
184,0.720000029
185,0.75999999
186,0.790000021
187,0.800000012
188,0.75999999
189,0.829999983
190,0.790000021
191,0.800000012
192,0.819999993
193,0.819999993
194,0.790000021
195,0.779999971
196,0.730000019
197,0.860000014
198,0.819999993
199,0.829999983
200,0.839999974
201,0.800000012
202,0.860000014
203,0.769999981
204,0.810000002
205,0.850000024
206,0.829999983
207,0.769999981
208,0.790000021
209,0.730000019
210,0.829999983
211,0.779999971
212,0.810000002
213,0.779999971
214,0.800000012
215,0.860000014
216,0.790000021
217,0.810000002
218,0.790000021
219,0.850000024
220,0.779999971
221,0.810000002
222,0.769999981
223,0.839999974
224,0.779999971
225,0.790000021
226,0.819999993
227,0.819999993
228,0.75
229,0.800000012
230,0.839999974
231,0.779999971
232,0.819999993
233,0.75999999
234,0.819999993
235,0.709999979
236,0.829999983
237,0.819999993
238,0.839999974
239,0.779999971
240,0.779999971
241,0.790000021
242,0.810000002
243,0.800000012
244,0.850000024
245,0.839999974
246,0.810000002
247,0.75
248,0.720000029
249,0.720000029
250,0.779999971
251,0.74000001
252,0.74000001
253,0.75
254,0.75
255,0.850000024
256,0.75999999
257,0.850000024
258,0.790000021
259,0.769999981
260,0.829999983
261,0.810000002
262,0.769999981
263,0.699999988
264,0.829999983
265,0.720000029
266,0.819999993
267,0.779999971
268,0.839999974
269,0.720000029
270,0.769999981
271,0.790000021
272,0.790000021
273,0.779999971
274,0.790000021
275,0.810000002
276,0.75
277,0.829999983
278,0.800000012
279,0.790000021
280,0.790000021
281,0.819999993
282,0.74000001
283,0.74000001
284,0.75999999
285,0.829999983
286,0.839999974
287,0.769999981
288,0.75999999
289,0.810000002
290,0.839999974
291,0.800000012
292,0.769999981
293,0.779999971
294,0.779999971
295,0.810000002
296,0.819999993
297,0.819999993
298,0.790000021
299,0.819999993
