,acc
0,0.819999993
1,0.839999974
2,0.839999974
3,0.800000012
4,0.790000021
5,0.839999974
6,0.819999993
7,0.720000029
8,0.810000002
9,0.839999974
10,0.850000024
11,0.829999983
12,0.800000012
13,0.819999993
14,0.769999981
15,0.819999993
16,0.730000019
17,0.839999974
18,0.800000012
19,0.75999999
20,0.790000021
21,0.75
22,0.810000002
23,0.850000024
24,0.790000021
25,0.839999974
26,0.860000014
27,0.769999981
28,0.730000019
29,0.829999983
30,0.800000012
31,0.74000001
32,0.800000012
33,0.75999999
34,0.800000012
35,0.800000012
36,0.779999971
37,0.810000002
38,0.769999981
39,0.860000014
40,0.75999999
41,0.790000021
42,0.810000002
43,0.810000002
44,0.810000002
45,0.779999971
46,0.75
47,0.850000024
48,0.790000021
49,0.839999974
50,0.810000002
51,0.839999974
52,0.75999999
53,0.819999993
54,0.850000024
55,0.74000001
56,0.769999981
57,0.810000002
58,0.800000012
59,0.829999983
60,0.810000002
61,0.790000021
62,0.790000021
63,0.769999981
64,0.850000024
65,0.75
66,0.839999974
67,0.790000021
68,0.74000001
69,0.769999981
70,0.769999981
71,0.769999981
72,0.800000012
73,0.819999993
74,0.790000021
75,0.779999971
76,0.800000012
77,0.819999993
78,0.839999974
79,0.819999993
80,0.790000021
81,0.810000002
82,0.769999981
83,0.819999993
84,0.829999983
85,0.790000021
86,0.800000012
87,0.75999999
88,0.720000029
89,0.75999999
90,0.810000002
91,0.810000002
92,0.810000002
93,0.850000024
94,0.819999993
95,0.75999999
96,0.819999993
97,0.75999999
98,0.860000014
99,0.839999974
100,0.810000002
101,0.810000002
102,0.75999999
103,0.790000021
104,0.850000024
105,0.779999971
106,0.74000001
107,0.75999999
108,0.779999971
109,0.779999971
110,0.75
111,0.769999981
112,0.74000001
113,0.810000002
114,0.629999995
115,0.709999979
116,0.75999999
117,0.790000021
118,0.75999999
119,0.75999999
120,0.75999999
121,0.75999999
122,0.769999981
123,0.790000021
124,0.819999993
125,0.819999993
126,0.75
127,0.800000012
128,0.74000001
129,0.620000005
130,0.720000029
131,0.75
132,0.75999999
133,0.720000029
134,0.709999979
135,0.810000002
136,0.720000029
137,0.50999999
138,0.699999988
139,0.790000021
140,0.75999999
141,0.839999974
142,0.779999971
143,0.779999971
144,0.790000021
145,0.779999971
146,0.709999979
147,0.75
148,0.800000012
149,0.819999993
150,0.800000012
151,0.75999999
152,0.709999979
153,0.810000002
154,0.790000021
155,0.699999988
156,0.790000021
157,0.790000021
158,0.699999988
159,0.800000012
160,0.689999998
161,0.769999981
162,0.75999999
163,0.660000026
164,0.75
165,0.839999974
166,0.810000002
167,0.75
168,0.779999971
169,0.800000012
170,0.709999979
171,0.75
172,0.730000019
173,0.829999983
174,0.829999983
175,0.810000002
176,0.810000002
177,0.779999971
178,0.819999993
179,0.800000012
180,0.829999983
181,0.769999981
182,0.839999974
183,0.75999999
184,0.800000012
185,0.699999988
186,0.74000001
187,0.75
188,0.75999999
189,0.769999981
190,0.730000019
191,0.819999993
192,0.75
193,0.790000021
194,0.800000012
195,0.829999983
196,0.850000024
197,0.689999998
198,0.75999999
199,0.620000005
200,0.800000012
201,0.839999974
202,0.779999971
203,0.74000001
204,0.75
205,0.660000026
206,0.779999971
207,0.769999981
208,0.790000021
209,0.829999983
210,0.790000021
211,0.810000002
212,0.720000029
213,0.810000002
214,0.819999993
215,0.819999993
216,0.730000019
217,0.790000021
218,0.810000002
219,0.75
220,0.75
221,0.680000007
222,0.649999976
223,0.790000021
224,0.709999979
225,0.769999981
226,0.779999971
227,0.779999971
228,0.800000012
229,0.730000019
230,0.829999983
231,0.829999983
232,0.769999981
233,0.800000012
234,0.75
235,0.75
236,0.75999999
237,0.730000019
238,0.819999993
239,0.800000012
240,0.75999999
241,0.810000002
242,0.850000024
243,0.680000007
244,0.769999981
245,0.769999981
246,0.790000021
247,0.660000026
248,0.709999979
249,0.74000001
250,0.790000021
251,0.769999981
252,0.75999999
253,0.769999981
254,0.720000029
255,0.75999999
256,0.689999998
257,0.839999974
258,0.769999981
259,0.810000002
260,0.75
261,0.800000012
262,0.709999979
263,0.74000001
264,0.800000012
265,0.639999986
266,0.800000012
267,0.75999999
268,0.810000002
269,0.769999981
270,0.800000012
271,0.589999974
272,0.790000021
273,0.74000001
274,0.829999983
275,0.709999979
276,0.699999988
277,0.819999993
278,0.800000012
279,0.74000001
280,0.75999999
281,0.810000002
282,0.810000002
283,0.75
284,0.74000001
285,0.810000002
286,0.790000021
287,0.810000002
288,0.790000021
289,0.800000012
290,0.75999999
291,0.779999971
292,0.810000002
293,0.790000021
294,0.75999999
295,0.779999971
296,0.75
297,0.839999974
298,0.779999971
299,0.75
