,acc
0,0.829999983
1,0.870000005
2,0.839999974
3,0.829999983
4,0.829999983
5,0.839999974
6,0.819999993
7,0.829999983
8,0.829999983
9,0.879999995
10,0.839999974
11,0.879999995
12,0.839999974
13,0.839999974
14,0.819999993
15,0.819999993
16,0.810000002
17,0.819999993
18,0.839999974
19,0.889999986
20,0.879999995
21,0.839999974
22,0.819999993
23,0.850000024
24,0.810000002
25,0.839999974
26,0.790000021
27,0.779999971
28,0.850000024
29,0.850000024
30,0.800000012
31,0.810000002
32,0.819999993
33,0.850000024
34,0.850000024
35,0.850000024
36,0.839999974
37,0.819999993
38,0.839999974
39,0.860000014
40,0.819999993
41,0.850000024
42,0.870000005
43,0.819999993
44,0.889999986
45,0.829999983
46,0.819999993
47,0.839999974
48,0.819999993
49,0.860000014
50,0.839999974
51,0.870000005
52,0.829999983
53,0.839999974
54,0.839999974
55,0.850000024
56,0.829999983
57,0.870000005
58,0.870000005
59,0.879999995
60,0.839999974
61,0.829999983
62,0.839999974
63,0.829999983
64,0.790000021
65,0.860000014
66,0.829999983
67,0.899999976
68,0.819999993
69,0.879999995
70,0.850000024
71,0.870000005
72,0.850000024
73,0.860000014
74,0.819999993
75,0.860000014
76,0.800000012
77,0.850000024
78,0.839999974
79,0.829999983
80,0.850000024
81,0.839999974
82,0.870000005
83,0.819999993
84,0.839999974
85,0.829999983
86,0.839999974
87,0.800000012
88,0.839999974
89,0.839999974
90,0.790000021
91,0.819999993
92,0.870000005
93,0.779999971
94,0.850000024
95,0.860000014
96,0.819999993
97,0.819999993
98,0.819999993
99,0.829999983
100,0.790000021
101,0.829999983
102,0.839999974
103,0.829999983
104,0.810000002
105,0.810000002
106,0.819999993
107,0.850000024
108,0.860000014
109,0.850000024
110,0.870000005
111,0.870000005
112,0.850000024
113,0.819999993
114,0.839999974
115,0.839999974
116,0.810000002
117,0.790000021
118,0.839999974
119,0.829999983
120,0.850000024
121,0.790000021
122,0.839999974
123,0.810000002
124,0.870000005
125,0.810000002
126,0.860000014
127,0.879999995
128,0.870000005
129,0.850000024
130,0.839999974
131,0.850000024
132,0.870000005
133,0.810000002
134,0.860000014
135,0.860000014
136,0.839999974
137,0.810000002
138,0.870000005
139,0.839999974
140,0.860000014
141,0.850000024
142,0.810000002
143,0.810000002
144,0.839999974
145,0.819999993
146,0.779999971
147,0.879999995
148,0.829999983
149,0.910000026
150,0.829999983
151,0.850000024
152,0.819999993
153,0.870000005
154,0.879999995
155,0.829999983
156,0.839999974
157,0.889999986
158,0.819999993
159,0.870000005
160,0.819999993
161,0.800000012
162,0.879999995
163,0.829999983
164,0.870000005
165,0.829999983
166,0.800000012
167,0.810000002
168,0.810000002
169,0.860000014
170,0.829999983
171,0.819999993
172,0.860000014
173,0.769999981
174,0.879999995
175,0.870000005
176,0.889999986
177,0.850000024
178,0.810000002
179,0.839999974
180,0.879999995
181,0.810000002
182,0.829999983
183,0.860000014
184,0.810000002
185,0.870000005
186,0.829999983
187,0.870000005
188,0.850000024
189,0.850000024
190,0.839999974
191,0.850000024
192,0.860000014
193,0.819999993
194,0.879999995
195,0.839999974
196,0.850000024
197,0.839999974
198,0.790000021
199,0.819999993
200,0.860000014
201,0.839999974
202,0.839999974
203,0.860000014
204,0.829999983
205,0.870000005
206,0.829999983
207,0.850000024
208,0.860000014
209,0.810000002
210,0.839999974
211,0.829999983
212,0.790000021
213,0.850000024
214,0.829999983
215,0.829999983
216,0.829999983
217,0.860000014
218,0.870000005
219,0.819999993
220,0.810000002
221,0.800000012
222,0.839999974
223,0.850000024
224,0.850000024
225,0.870000005
226,0.810000002
227,0.810000002
228,0.800000012
229,0.790000021
230,0.839999974
231,0.860000014
232,0.860000014
233,0.850000024
234,0.829999983
235,0.810000002
236,0.839999974
237,0.860000014
238,0.860000014
239,0.870000005
240,0.879999995
241,0.860000014
242,0.829999983
243,0.850000024
244,0.829999983
245,0.810000002
246,0.800000012
247,0.870000005
248,0.839999974
249,0.790000021
250,0.850000024
251,0.810000002
252,0.790000021
253,0.870000005
254,0.850000024
255,0.839999974
256,0.850000024
257,0.810000002
258,0.889999986
259,0.879999995
260,0.819999993
261,0.860000014
262,0.870000005
263,0.769999981
264,0.860000014
265,0.870000005
266,0.850000024
267,0.860000014
268,0.850000024
269,0.850000024
270,0.800000012
271,0.850000024
272,0.850000024
273,0.790000021
274,0.850000024
275,0.850000024
276,0.800000012
277,0.839999974
278,0.839999974
279,0.839999974
280,0.850000024
281,0.839999974
282,0.850000024
283,0.829999983
284,0.860000014
285,0.850000024
286,0.819999993
287,0.779999971
288,0.800000012
289,0.839999974
290,0.860000014
291,0.850000024
292,0.839999974
293,0.819999993
294,0.839999974
295,0.879999995
296,0.819999993
297,0.810000002
298,0.819999993
299,0.839999974
