,acc
0,0.810000002
1,0.790000021
2,0.779999971
3,0.800000012
4,0.829999983
5,0.829999983
6,0.819999993
7,0.839999974
8,0.810000002
9,0.800000012
10,0.819999993
11,0.800000012
12,0.790000021
13,0.810000002
14,0.829999983
15,0.839999974
16,0.819999993
17,0.819999993
18,0.829999983
19,0.850000024
20,0.850000024
21,0.819999993
22,0.800000012
23,0.829999983
24,0.810000002
25,0.839999974
26,0.829999983
27,0.779999971
28,0.790000021
29,0.850000024
30,0.800000012
31,0.800000012
32,0.839999974
33,0.800000012
34,0.779999971
35,0.779999971
36,0.800000012
37,0.829999983
38,0.839999974
39,0.879999995
40,0.829999983
41,0.839999974
42,0.860000014
43,0.819999993
44,0.790000021
45,0.819999993
46,0.790000021
47,0.850000024
48,0.800000012
49,0.819999993
50,0.819999993
51,0.800000012
52,0.790000021
53,0.790000021
54,0.839999974
55,0.779999971
56,0.860000014
57,0.829999983
58,0.829999983
59,0.829999983
60,0.829999983
61,0.810000002
62,0.800000012
63,0.819999993
64,0.870000005
65,0.829999983
66,0.829999983
67,0.839999974
68,0.829999983
69,0.839999974
70,0.839999974
71,0.860000014
72,0.870000005
73,0.810000002
74,0.810000002
75,0.819999993
76,0.779999971
77,0.819999993
78,0.839999974
79,0.839999974
80,0.829999983
81,0.75999999
82,0.819999993
83,0.779999971
84,0.839999974
85,0.75999999
86,0.800000012
87,0.839999974
88,0.810000002
89,0.879999995
90,0.839999974
91,0.839999974
92,0.779999971
93,0.819999993
94,0.839999974
95,0.860000014
96,0.769999981
97,0.810000002
98,0.769999981
99,0.810000002
100,0.75999999
101,0.800000012
102,0.829999983
103,0.800000012
104,0.850000024
105,0.800000012
106,0.810000002
107,0.800000012
108,0.850000024
109,0.819999993
110,0.839999974
111,0.829999983
112,0.810000002
113,0.829999983
114,0.829999983
115,0.819999993
116,0.800000012
117,0.839999974
118,0.819999993
119,0.75999999
120,0.810000002
121,0.790000021
122,0.790000021
123,0.850000024
124,0.839999974
125,0.810000002
126,0.810000002
127,0.790000021
128,0.779999971
129,0.790000021
130,0.790000021
131,0.810000002
132,0.819999993
133,0.839999974
134,0.790000021
135,0.769999981
136,0.810000002
137,0.839999974
138,0.800000012
139,0.75
140,0.829999983
141,0.829999983
142,0.810000002
143,0.790000021
144,0.810000002
145,0.839999974
146,0.829999983
147,0.779999971
148,0.839999974
149,0.769999981
150,0.75999999
151,0.779999971
152,0.790000021
153,0.839999974
154,0.790000021
155,0.819999993
156,0.810000002
157,0.870000005
158,0.790000021
159,0.829999983
160,0.829999983
161,0.800000012
162,0.839999974
163,0.839999974
164,0.810000002
165,0.75999999
166,0.850000024
167,0.839999974
168,0.800000012
169,0.819999993
170,0.819999993
171,0.810000002
172,0.829999983
173,0.74000001
174,0.839999974
175,0.800000012
176,0.769999981
177,0.769999981
178,0.819999993
179,0.810000002
180,0.810000002
181,0.850000024
182,0.829999983
183,0.829999983
184,0.800000012
185,0.829999983
186,0.829999983
187,0.779999971
188,0.870000005
189,0.779999971
190,0.810000002
191,0.800000012
192,0.74000001
193,0.829999983
194,0.819999993
195,0.870000005
196,0.810000002
197,0.839999974
198,0.850000024
199,0.790000021
200,0.779999971
201,0.819999993
202,0.839999974
203,0.75
204,0.790000021
205,0.850000024
206,0.829999983
207,0.829999983
208,0.819999993
209,0.839999974
210,0.800000012
211,0.829999983
212,0.800000012
213,0.860000014
214,0.800000012
215,0.850000024
216,0.850000024
217,0.850000024
218,0.860000014
219,0.75
220,0.819999993
221,0.860000014
222,0.839999974
223,0.800000012
224,0.790000021
225,0.829999983
226,0.800000012
227,0.829999983
228,0.839999974
229,0.829999983
230,0.819999993
231,0.810000002
232,0.819999993
233,0.819999993
234,0.829999983
235,0.870000005
236,0.800000012
237,0.829999983
238,0.860000014
239,0.839999974
240,0.790000021
241,0.810000002
242,0.800000012
243,0.819999993
244,0.790000021
245,0.790000021
246,0.800000012
247,0.839999974
248,0.800000012
249,0.839999974
250,0.839999974
251,0.819999993
252,0.819999993
253,0.790000021
254,0.819999993
255,0.829999983
256,0.769999981
257,0.860000014
258,0.800000012
259,0.790000021
260,0.790000021
261,0.860000014
262,0.839999974
263,0.870000005
264,0.899999976
265,0.829999983
266,0.800000012
267,0.810000002
268,0.790000021
269,0.779999971
270,0.819999993
271,0.860000014
272,0.829999983
273,0.829999983
274,0.819999993
275,0.839999974
276,0.75999999
277,0.779999971
278,0.810000002
279,0.810000002
280,0.819999993
281,0.829999983
282,0.800000012
283,0.810000002
284,0.839999974
285,0.800000012
286,0.790000021
287,0.819999993
288,0.839999974
289,0.810000002
290,0.800000012
291,0.769999981
292,0.850000024
293,0.819999993
294,0.850000024
295,0.800000012
296,0.74000001
297,0.790000021
298,0.819999993
299,0.779999971
