,acc
0,0.819999993
1,0.74000001
2,0.790000021
3,0.75999999
4,0.769999981
5,0.74000001
6,0.74000001
7,0.810000002
8,0.75999999
9,0.800000012
10,0.810000002
11,0.800000012
12,0.779999971
13,0.790000021
14,0.75999999
15,0.75
16,0.75999999
17,0.75999999
18,0.75999999
19,0.680000007
20,0.699999988
21,0.709999979
22,0.699999988
23,0.790000021
24,0.769999981
25,0.800000012
26,0.74000001
27,0.810000002
28,0.75999999
29,0.800000012
30,0.810000002
31,0.800000012
32,0.75
33,0.75999999
34,0.75
35,0.810000002
36,0.810000002
37,0.779999971
38,0.779999971
39,0.769999981
40,0.730000019
41,0.730000019
42,0.779999971
43,0.699999988
44,0.75
45,0.829999983
46,0.75999999
47,0.769999981
48,0.720000029
49,0.720000029
50,0.730000019
51,0.709999979
52,0.790000021
53,0.74000001
54,0.829999983
55,0.769999981
56,0.75
57,0.810000002
58,0.769999981
59,0.790000021
60,0.74000001
61,0.779999971
62,0.730000019
63,0.730000019
64,0.769999981
65,0.810000002
66,0.74000001
67,0.800000012
68,0.75999999
69,0.800000012
70,0.800000012
71,0.74000001
72,0.779999971
73,0.819999993
74,0.819999993
75,0.74000001
76,0.689999998
77,0.790000021
78,0.74000001
79,0.75
80,0.790000021
81,0.75
82,0.819999993
83,0.75999999
84,0.769999981
85,0.779999971
86,0.839999974
87,0.779999971
88,0.720000029
89,0.75
90,0.769999981
91,0.730000019
92,0.779999971
93,0.800000012
94,0.75
95,0.730000019
96,0.779999971
97,0.779999971
98,0.75
99,0.730000019
100,0.730000019
101,0.730000019
102,0.800000012
103,0.75999999
104,0.769999981
105,0.779999971
106,0.819999993
107,0.819999993
108,0.74000001
109,0.810000002
110,0.720000029
111,0.810000002
112,0.75999999
113,0.850000024
114,0.74000001
115,0.790000021
116,0.810000002
117,0.829999983
118,0.75
119,0.800000012
120,0.75
121,0.74000001
122,0.790000021
123,0.75
124,0.769999981
125,0.730000019
126,0.819999993
127,0.779999971
128,0.800000012
129,0.75999999
130,0.709999979
131,0.779999971
132,0.709999979
133,0.810000002
134,0.769999981
135,0.75
136,0.769999981
137,0.75999999
138,0.790000021
139,0.769999981
140,0.75
141,0.779999971
142,0.810000002
143,0.75999999
144,0.75999999
145,0.810000002
146,0.790000021
147,0.75
148,0.769999981
149,0.74000001
150,0.769999981
151,0.769999981
152,0.75999999
153,0.75
154,0.75999999
155,0.75999999
156,0.790000021
157,0.680000007
158,0.810000002
159,0.800000012
160,0.810000002
161,0.75999999
162,0.779999971
163,0.779999971
164,0.769999981
165,0.769999981
166,0.790000021
167,0.779999971
168,0.779999971
169,0.800000012
170,0.689999998
171,0.790000021
172,0.74000001
173,0.810000002
174,0.720000029
175,0.800000012
176,0.810000002
177,0.779999971
178,0.720000029
179,0.779999971
180,0.74000001
181,0.75
182,0.74000001
183,0.74000001
184,0.730000019
185,0.75999999
186,0.75999999
187,0.75999999
188,0.790000021
189,0.720000029
190,0.790000021
191,0.74000001
192,0.790000021
193,0.790000021
194,0.75
195,0.779999971
196,0.720000029
197,0.74000001
198,0.75999999
199,0.74000001
200,0.779999971
201,0.800000012
202,0.769999981
203,0.75
204,0.769999981
205,0.790000021
206,0.819999993
207,0.75999999
208,0.829999983
209,0.639999986
210,0.790000021
211,0.75
212,0.790000021
213,0.810000002
214,0.779999971
215,0.680000007
216,0.839999974
217,0.800000012
218,0.810000002
219,0.850000024
220,0.75999999
221,0.790000021
222,0.779999971
223,0.75999999
224,0.790000021
225,0.75999999
226,0.779999971
227,0.779999971
228,0.829999983
229,0.839999974
230,0.75
231,0.769999981
232,0.75
233,0.75999999
234,0.779999971
235,0.769999981
236,0.790000021
237,0.75
238,0.75999999
239,0.75999999
240,0.790000021
241,0.790000021
242,0.74000001
243,0.779999971
244,0.779999971
245,0.75
246,0.779999971
247,0.790000021
248,0.800000012
249,0.810000002
250,0.769999981
251,0.680000007
252,0.699999988
253,0.779999971
254,0.790000021
255,0.769999981
256,0.769999981
257,0.75
258,0.769999981
259,0.790000021
260,0.810000002
261,0.74000001
262,0.75999999
263,0.779999971
264,0.75
265,0.779999971
266,0.75999999
267,0.769999981
268,0.769999981
269,0.800000012
270,0.790000021
271,0.74000001
272,0.779999971
273,0.779999971
274,0.790000021
275,0.819999993
276,0.75999999
277,0.74000001
278,0.800000012
279,0.75999999
280,0.769999981
281,0.75999999
282,0.819999993
283,0.769999981
284,0.819999993
285,0.779999971
286,0.800000012
287,0.75999999
288,0.819999993
289,0.769999981
290,0.75999999
291,0.74000001
292,0.829999983
293,0.800000012
294,0.75999999
295,0.800000012
296,0.790000021
297,0.769999981
298,0.75999999
299,0.800000012
