,acc
0,0.850000024
1,0.75
2,0.800000012
3,0.810000002
4,0.75
5,0.670000017
6,0.689999998
7,0.819999993
8,0.800000012
9,0.74000001
10,0.699999988
11,0.639999986
12,0.670000017
13,0.589999974
14,0.75999999
15,0.720000029
16,0.810000002
17,0.639999986
18,0.75
19,0.769999981
20,0.74000001
21,0.810000002
22,0.74000001
23,0.74000001
24,0.74000001
25,0.689999998
26,0.709999979
27,0.800000012
28,0.790000021
29,0.75999999
30,0.709999979
31,0.829999983
32,0.75999999
33,0.74000001
34,0.75999999
35,0.800000012
36,0.779999971
37,0.850000024
38,0.720000029
39,0.819999993
40,0.75
41,0.819999993
42,0.75999999
43,0.699999988
44,0.790000021
45,0.75
46,0.800000012
47,0.680000007
48,0.779999971
49,0.639999986
50,0.75
51,0.779999971
52,0.839999974
53,0.709999979
54,0.839999974
55,0.800000012
56,0.649999976
57,0.850000024
58,0.449999988
59,0.75
60,0.709999979
61,0.670000017
62,0.839999974
63,0.779999971
64,0.829999983
65,0.639999986
66,0.800000012
67,0.730000019
68,0.75999999
69,0.709999979
70,0.660000026
71,0.689999998
72,0.790000021
73,0.75999999
74,0.75999999
75,0.790000021
76,0.639999986
77,0.74000001
78,0.790000021
79,0.800000012
80,0.75
81,0.730000019
82,0.839999974
83,0.75999999
84,0.790000021
85,0.800000012
86,0.790000021
87,0.810000002
88,0.800000012
89,0.74000001
90,0.779999971
91,0.75999999
92,0.769999981
93,0.810000002
94,0.660000026
95,0.610000014
96,0.819999993
97,0.790000021
98,0.75
99,0.779999971
100,0.74000001
101,0.779999971
102,0.850000024
103,0.639999986
104,0.829999983
105,0.870000005
106,0.720000029
107,0.850000024
108,0.769999981
109,0.75
110,0.75999999
111,0.839999974
112,0.75
113,0.709999979
114,0.680000007
115,0.790000021
116,0.670000017
117,0.800000012
118,0.810000002
119,0.75
120,0.800000012
121,0.75999999
122,0.720000029
123,0.800000012
124,0.689999998
125,0.790000021
126,0.800000012
127,0.610000014
128,0.800000012
129,0.769999981
130,0.709999979
131,0.810000002
132,0.730000019
133,0.800000012
134,0.699999988
135,0.769999981
136,0.75999999
137,0.810000002
138,0.790000021
139,0.709999979
140,0.779999971
141,0.899999976
142,0.819999993
143,0.529999971
144,0.790000021
145,0.75999999
146,0.800000012
147,0.730000019
148,0.769999981
149,0.720000029
150,0.800000012
151,0.769999981
152,0.790000021
153,0.779999971
154,0.769999981
155,0.689999998
156,0.819999993
157,0.720000029
158,0.779999971
159,0.819999993
160,0.810000002
161,0.589999974
162,0.680000007
163,0.819999993
164,0.610000014
165,0.769999981
166,0.699999988
167,0.560000002
168,0.569999993
169,0.850000024
170,0.779999971
171,0.850000024
172,0.699999988
173,0.670000017
174,0.810000002
175,0.74000001
176,0.769999981
177,0.699999988
178,0.75999999
179,0.829999983
180,0.839999974
181,0.74000001
182,0.74000001
183,0.850000024
184,0.479999989
185,0.660000026
186,0.75
187,0.779999971
188,0.540000021
189,0.800000012
190,0.74000001
191,0.610000014
192,0.790000021
193,0.829999983
194,0.769999981
195,0.779999971
196,0.800000012
197,0.810000002
198,0.589999974
199,0.800000012
200,0.810000002
201,0.75999999
202,0.819999993
203,0.790000021
204,0.810000002
205,0.310000002
206,0.769999981
207,0.680000007
208,0.790000021
209,0.689999998
210,0.50999999
211,0.560000002
212,0.790000021
213,0.800000012
214,0.730000019
215,0.75999999
216,0.779999971
217,0.819999993
218,0.839999974
219,0.800000012
220,0.769999981
221,0.629999995
222,0.839999974
223,0.790000021
224,0.74000001
225,0.550000012
226,0.660000026
227,0.670000017
228,0.769999981
229,0.75
230,0.730000019
231,0.800000012
232,0.800000012
233,0.709999979
234,0.74000001
235,0.829999983
236,0.800000012
237,0.730000019
238,0.790000021
239,0.730000019
240,0.519999981
241,0.779999971
242,0.730000019
243,0.75999999
244,0.779999971
245,0.769999981
246,0.850000024
247,0.709999979
248,0.769999981
249,0.649999976
250,0.75999999
251,0.850000024
252,0.680000007
253,0.689999998
254,0.790000021
255,0.800000012
256,0.75
257,0.860000014
258,0.850000024
259,0.860000014
260,0.699999988
261,0.879999995
262,0.639999986
263,0.75999999
264,0.790000021
265,0.810000002
266,0.769999981
267,0.819999993
268,0.790000021
269,0.74000001
270,0.75999999
271,0.779999971
272,0.870000005
273,0.779999971
274,0.779999971
275,0.860000014
276,0.49000001
277,0.790000021
278,0.75999999
279,0.790000021
280,0.779999971
281,0.819999993
282,0.819999993
283,0.769999981
284,0.720000029
285,0.800000012
286,0.709999979
287,0.810000002
288,0.819999993
289,0.860000014
290,0.800000012
291,0.620000005
292,0.819999993
293,0.790000021
294,0.74000001
295,0.74000001
296,0.75
297,0.75
298,0.800000012
299,0.819999993
