,acc
0,0.790000021
1,0.810000002
2,0.839999974
3,0.730000019
4,0.779999971
5,0.769999981
6,0.75
7,0.779999971
8,0.769999981
9,0.790000021
10,0.810000002
11,0.769999981
12,0.819999993
13,0.810000002
14,0.829999983
15,0.800000012
16,0.810000002
17,0.860000014
18,0.800000012
19,0.75
20,0.819999993
21,0.829999983
22,0.779999971
23,0.790000021
24,0.819999993
25,0.730000019
26,0.839999974
27,0.810000002
28,0.819999993
29,0.860000014
30,0.75999999
31,0.769999981
32,0.810000002
33,0.730000019
34,0.790000021
35,0.75999999
36,0.689999998
37,0.819999993
38,0.790000021
39,0.829999983
40,0.870000005
41,0.779999971
42,0.800000012
43,0.600000024
44,0.800000012
45,0.730000019
46,0.850000024
47,0.779999971
48,0.839999974
49,0.769999981
50,0.730000019
51,0.790000021
52,0.810000002
53,0.850000024
54,0.769999981
55,0.769999981
56,0.769999981
57,0.810000002
58,0.810000002
59,0.810000002
60,0.850000024
61,0.790000021
62,0.790000021
63,0.839999974
64,0.790000021
65,0.819999993
66,0.839999974
67,0.709999979
68,0.819999993
69,0.860000014
70,0.800000012
71,0.850000024
72,0.860000014
73,0.790000021
74,0.800000012
75,0.689999998
76,0.779999971
77,0.810000002
78,0.810000002
79,0.810000002
80,0.800000012
81,0.819999993
82,0.810000002
83,0.75
84,0.769999981
85,0.819999993
86,0.779999971
87,0.779999971
88,0.800000012
89,0.819999993
90,0.75
91,0.810000002
92,0.779999971
93,0.74000001
94,0.829999983
95,0.75
96,0.829999983
97,0.810000002
98,0.730000019
99,0.74000001
100,0.779999971
101,0.829999983
102,0.730000019
103,0.819999993
104,0.819999993
105,0.720000029
106,0.75
107,0.829999983
108,0.730000019
109,0.819999993
110,0.829999983
111,0.720000029
112,0.779999971
113,0.819999993
114,0.790000021
115,0.779999971
116,0.829999983
117,0.629999995
118,0.670000017
119,0.850000024
120,0.790000021
121,0.800000012
122,0.839999974
123,0.819999993
124,0.730000019
125,0.74000001
126,0.779999971
127,0.839999974
128,0.709999979
129,0.819999993
130,0.779999971
131,0.829999983
132,0.680000007
133,0.75999999
134,0.790000021
135,0.779999971
136,0.74000001
137,0.769999981
138,0.790000021
139,0.810000002
140,0.800000012
141,0.75
142,0.790000021
143,0.769999981
144,0.790000021
145,0.75999999
146,0.769999981
147,0.779999971
148,0.800000012
149,0.629999995
150,0.829999983
151,0.810000002
152,0.730000019
153,0.75
154,0.74000001
155,0.829999983
156,0.769999981
157,0.860000014
158,0.670000017
159,0.769999981
160,0.75
161,0.790000021
162,0.790000021
163,0.819999993
164,0.819999993
165,0.779999971
166,0.800000012
167,0.819999993
168,0.829999983
169,0.800000012
170,0.879999995
171,0.800000012
172,0.699999988
173,0.819999993
174,0.75999999
175,0.810000002
176,0.790000021
177,0.75999999
178,0.730000019
179,0.810000002
180,0.829999983
181,0.790000021
182,0.819999993
183,0.730000019
184,0.810000002
185,0.769999981
186,0.819999993
187,0.720000029
188,0.779999971
189,0.779999971
190,0.769999981
191,0.75999999
192,0.74000001
193,0.769999981
194,0.779999971
195,0.800000012
196,0.75999999
197,0.790000021
198,0.819999993
199,0.810000002
200,0.769999981
201,0.790000021
202,0.839999974
203,0.790000021
204,0.75999999
205,0.75999999
206,0.800000012
207,0.819999993
208,0.819999993
209,0.850000024
210,0.800000012
211,0.790000021
212,0.819999993
213,0.829999983
214,0.790000021
215,0.769999981
216,0.829999983
217,0.819999993
218,0.829999983
219,0.829999983
220,0.810000002
221,0.810000002
222,0.720000029
223,0.800000012
224,0.870000005
225,0.790000021
226,0.779999971
227,0.810000002
228,0.75
229,0.639999986
230,0.800000012
231,0.839999974
232,0.839999974
233,0.839999974
234,0.810000002
235,0.550000012
236,0.75
237,0.860000014
238,0.790000021
239,0.769999981
240,0.779999971
241,0.769999981
242,0.689999998
243,0.829999983
244,0.779999971
245,0.819999993
246,0.790000021
247,0.829999983
248,0.790000021
249,0.699999988
250,0.819999993
251,0.829999983
252,0.810000002
253,0.670000017
254,0.74000001
255,0.810000002
256,0.779999971
257,0.649999976
258,0.850000024
259,0.75
260,0.74000001
261,0.819999993
262,0.620000005
263,0.680000007
264,0.800000012
265,0.75999999
266,0.74000001
267,0.75
268,0.829999983
269,0.75999999
270,0.779999971
271,0.730000019
272,0.810000002
273,0.779999971
274,0.75
275,0.730000019
276,0.75999999
277,0.800000012
278,0.75999999
279,0.790000021
280,0.790000021
281,0.810000002
282,0.709999979
283,0.829999983
284,0.790000021
285,0.779999971
286,0.810000002
287,0.800000012
288,0.689999998
289,0.75999999
290,0.670000017
291,0.699999988
292,0.699999988
293,0.800000012
294,0.839999974
295,0.819999993
296,0.829999983
297,0.790000021
298,0.790000021
299,0.699999988
