,acc
0,0.800000012
1,0.75
2,0.839999974
3,0.829999983
4,0.790000021
5,0.829999983
6,0.800000012
7,0.800000012
8,0.74000001
9,0.769999981
10,0.800000012
11,0.800000012
12,0.839999974
13,0.819999993
14,0.829999983
15,0.819999993
16,0.800000012
17,0.870000005
18,0.74000001
19,0.790000021
20,0.769999981
21,0.819999993
22,0.810000002
23,0.819999993
24,0.779999971
25,0.800000012
26,0.769999981
27,0.75999999
28,0.720000029
29,0.779999971
30,0.769999981
31,0.819999993
32,0.850000024
33,0.829999983
34,0.810000002
35,0.800000012
36,0.870000005
37,0.810000002
38,0.819999993
39,0.769999981
40,0.829999983
41,0.74000001
42,0.709999979
43,0.860000014
44,0.800000012
45,0.689999998
46,0.800000012
47,0.75999999
48,0.800000012
49,0.829999983
50,0.829999983
51,0.839999974
52,0.790000021
53,0.730000019
54,0.819999993
55,0.730000019
56,0.790000021
57,0.850000024
58,0.779999971
59,0.74000001
60,0.769999981
61,0.819999993
62,0.74000001
63,0.850000024
64,0.810000002
65,0.720000029
66,0.720000029
67,0.839999974
68,0.689999998
69,0.810000002
70,0.829999983
71,0.74000001
72,0.74000001
73,0.769999981
74,0.819999993
75,0.870000005
76,0.730000019
77,0.790000021
78,0.790000021
79,0.839999974
80,0.829999983
81,0.819999993
82,0.879999995
83,0.810000002
84,0.720000029
85,0.75
86,0.819999993
87,0.75999999
88,0.810000002
89,0.75
90,0.800000012
91,0.819999993
92,0.839999974
93,0.779999971
94,0.839999974
95,0.810000002
96,0.810000002
97,0.829999983
98,0.819999993
99,0.790000021
100,0.779999971
101,0.819999993
102,0.769999981
103,0.74000001
104,0.810000002
105,0.74000001
106,0.769999981
107,0.720000029
108,0.790000021
109,0.730000019
110,0.75999999
111,0.689999998
112,0.730000019
113,0.779999971
114,0.819999993
115,0.800000012
116,0.680000007
117,0.779999971
118,0.839999974
119,0.75999999
120,0.790000021
121,0.779999971
122,0.819999993
123,0.649999976
124,0.709999979
125,0.75999999
126,0.829999983
127,0.74000001
128,0.810000002
129,0.819999993
130,0.769999981
131,0.790000021
132,0.790000021
133,0.800000012
134,0.790000021
135,0.829999983
136,0.75999999
137,0.779999971
138,0.579999983
139,0.769999981
140,0.75
141,0.779999971
142,0.790000021
143,0.790000021
144,0.769999981
145,0.730000019
146,0.75999999
147,0.779999971
148,0.819999993
149,0.810000002
150,0.709999979
151,0.769999981
152,0.779999971
153,0.769999981
154,0.839999974
155,0.839999974
156,0.75
157,0.790000021
158,0.790000021
159,0.810000002
160,0.810000002
161,0.810000002
162,0.829999983
163,0.810000002
164,0.75999999
165,0.75999999
166,0.810000002
167,0.800000012
168,0.829999983
169,0.769999981
170,0.810000002
171,0.720000029
172,0.75999999
173,0.730000019
174,0.819999993
175,0.839999974
176,0.810000002
177,0.810000002
178,0.790000021
179,0.790000021
180,0.74000001
181,0.819999993
182,0.75999999
183,0.779999971
184,0.730000019
185,0.829999983
186,0.75
187,0.819999993
188,0.790000021
189,0.800000012
190,0.75
191,0.790000021
192,0.699999988
193,0.819999993
194,0.75
195,0.699999988
196,0.769999981
197,0.800000012
198,0.839999974
199,0.769999981
200,0.800000012
201,0.75
202,0.75
203,0.779999971
204,0.790000021
205,0.790000021
206,0.819999993
207,0.779999971
208,0.790000021
209,0.779999971
210,0.74000001
211,0.75
212,0.839999974
213,0.800000012
214,0.810000002
215,0.800000012
216,0.800000012
217,0.790000021
218,0.800000012
219,0.720000029
220,0.769999981
221,0.779999971
222,0.779999971
223,0.810000002
224,0.779999971
225,0.730000019
226,0.800000012
227,0.730000019
228,0.800000012
229,0.850000024
230,0.74000001
231,0.819999993
232,0.75999999
233,0.839999974
234,0.769999981
235,0.730000019
236,0.829999983
237,0.790000021
238,0.839999974
239,0.790000021
240,0.819999993
241,0.75999999
242,0.839999974
243,0.790000021
244,0.74000001
245,0.75999999
246,0.779999971
247,0.769999981
248,0.74000001
249,0.769999981
250,0.850000024
251,0.819999993
252,0.800000012
253,0.819999993
254,0.75999999
255,0.779999971
256,0.800000012
257,0.75999999
258,0.75
259,0.75999999
260,0.790000021
261,0.819999993
262,0.810000002
263,0.730000019
264,0.870000005
265,0.790000021
266,0.769999981
267,0.790000021
268,0.74000001
269,0.49000001
270,0.800000012
271,0.75999999
272,0.730000019
273,0.819999993
274,0.769999981
275,0.769999981
276,0.649999976
277,0.790000021
278,0.75
279,0.790000021
280,0.819999993
281,0.730000019
282,0.790000021
283,0.769999981
284,0.790000021
285,0.769999981
286,0.769999981
287,0.75
288,0.730000019
289,0.720000029
290,0.800000012
291,0.730000019
292,0.779999971
293,0.839999974
294,0.850000024
295,0.49000001
296,0.74000001
297,0.769999981
298,0.75
299,0.790000021
