,acc
0,0.769999981
1,0.819999993
2,0.75
3,0.75999999
4,0.839999974
5,0.709999979
6,0.819999993
7,0.709999979
8,0.720000029
9,0.75999999
10,0.689999998
11,0.720000029
12,0.829999983
13,0.829999983
14,0.769999981
15,0.730000019
16,0.74000001
17,0.790000021
18,0.620000005
19,0.75999999
20,0.75
21,0.769999981
22,0.720000029
23,0.720000029
24,0.720000029
25,0.839999974
26,0.75999999
27,0.74000001
28,0.730000019
29,0.829999983
30,0.709999979
31,0.74000001
32,0.730000019
33,0.709999979
34,0.769999981
35,0.730000019
36,0.839999974
37,0.790000021
38,0.790000021
39,0.829999983
40,0.779999971
41,0.800000012
42,0.689999998
43,0.819999993
44,0.720000029
45,0.709999979
46,0.790000021
47,0.819999993
48,0.769999981
49,0.790000021
50,0.689999998
51,0.839999974
52,0.829999983
53,0.779999971
54,0.800000012
55,0.430000007
56,0.579999983
57,0.75
58,0.560000002
59,0.720000029
60,0.800000012
61,0.819999993
62,0.75
63,0.75
64,0.790000021
65,0.75
66,0.689999998
67,0.75
68,0.74000001
69,0.810000002
70,0.800000012
71,0.829999983
72,0.819999993
73,0.769999981
74,0.839999974
75,0.769999981
76,0.709999979
77,0.870000005
78,0.769999981
79,0.769999981
80,0.790000021
81,0.800000012
82,0.75999999
83,0.680000007
84,0.779999971
85,0.769999981
86,0.670000017
87,0.74000001
88,0.800000012
89,0.649999976
90,0.629999995
91,0.819999993
92,0.75
93,0.579999983
94,0.75
95,0.850000024
96,0.680000007
97,0.680000007
98,0.769999981
99,0.860000014
100,0.75
101,0.75999999
102,0.75999999
103,0.779999971
104,0.699999988
105,0.709999979
106,0.550000012
107,0.779999971
108,0.790000021
109,0.829999983
110,0.819999993
111,0.74000001
112,0.779999971
113,0.620000005
114,0.75999999
115,0.75999999
116,0.810000002
117,0.769999981
118,0.660000026
119,0.819999993
120,0.769999981
121,0.730000019
122,0.74000001
123,0.819999993
124,0.74000001
125,0.74000001
126,0.730000019
127,0.74000001
128,0.779999971
129,0.769999981
130,0.810000002
131,0.790000021
132,0.720000029
133,0.74000001
134,0.649999976
135,0.829999983
136,0.790000021
137,0.800000012
138,0.689999998
139,0.720000029
140,0.829999983
141,0.75
142,0.769999981
143,0.829999983
144,0.790000021
145,0.660000026
146,0.75999999
147,0.689999998
148,0.769999981
149,0.689999998
150,0.720000029
151,0.850000024
152,0.680000007
153,0.769999981
154,0.670000017
155,0.769999981
156,0.75
157,0.74000001
158,0.680000007
159,0.779999971
160,0.800000012
161,0.829999983
162,0.790000021
163,0.75
164,0.709999979
165,0.670000017
166,0.730000019
167,0.769999981
168,0.839999974
169,0.769999981
170,0.810000002
171,0.689999998
172,0.769999981
173,0.790000021
174,0.839999974
175,0.660000026
176,0.600000024
177,0.680000007
178,0.800000012
179,0.800000012
180,0.810000002
181,0.779999971
182,0.779999971
183,0.839999974
184,0.75999999
185,0.730000019
186,0.75999999
187,0.779999971
188,0.709999979
189,0.769999981
190,0.839999974
191,0.769999981
192,0.790000021
193,0.699999988
194,0.639999986
195,0.779999971
196,0.779999971
197,0.829999983
198,0.870000005
199,0.779999971
200,0.74000001
201,0.639999986
202,0.779999971
203,0.769999981
204,0.75999999
205,0.670000017
206,0.699999988
207,0.709999979
208,0.810000002
209,0.819999993
210,0.680000007
211,0.790000021
212,0.75
213,0.709999979
214,0.819999993
215,0.769999981
216,0.74000001
217,0.769999981
218,0.800000012
219,0.720000029
220,0.810000002
221,0.709999979
222,0.75999999
223,0.709999979
224,0.800000012
225,0.75999999
226,0.649999976
227,0.779999971
228,0.680000007
229,0.720000029
230,0.829999983
231,0.74000001
232,0.75
233,0.769999981
234,0.699999988
235,0.709999979
236,0.790000021
237,0.699999988
238,0.74000001
239,0.790000021
240,0.730000019
241,0.660000026
242,0.75
243,0.779999971
244,0.529999971
245,0.74000001
246,0.769999981
247,0.709999979
248,0.75
249,0.709999979
250,0.74000001
251,0.720000029
252,0.730000019
253,0.790000021
254,0.829999983
255,0.75
256,0.819999993
257,0.720000029
258,0.800000012
259,0.810000002
260,0.810000002
261,0.839999974
262,0.800000012
263,0.75
264,0.769999981
265,0.74000001
266,0.75999999
267,0.75
268,0.810000002
269,0.629999995
270,0.800000012
271,0.649999976
272,0.769999981
273,0.790000021
274,0.699999988
275,0.730000019
276,0.730000019
277,0.790000021
278,0.75
279,0.75999999
280,0.74000001
281,0.74000001
282,0.75999999
283,0.769999981
284,0.819999993
285,0.75
286,0.779999971
287,0.730000019
288,0.790000021
289,0.730000019
290,0.75
291,0.790000021
292,0.730000019
293,0.74000001
294,0.819999993
295,0.779999971
296,0.670000017
297,0.790000021
298,0.790000021
299,0.75999999
