,acc
0,0.769999981
1,0.810000002
2,0.850000024
3,0.779999971
4,0.860000014
5,0.819999993
6,0.810000002
7,0.74000001
8,0.74000001
9,0.839999974
10,0.839999974
11,0.819999993
12,0.850000024
13,0.829999983
14,0.779999971
15,0.75999999
16,0.870000005
17,0.839999974
18,0.839999974
19,0.649999976
20,0.829999983
21,0.810000002
22,0.810000002
23,0.769999981
24,0.810000002
25,0.839999974
26,0.839999974
27,0.769999981
28,0.879999995
29,0.800000012
30,0.790000021
31,0.800000012
32,0.790000021
33,0.850000024
34,0.720000029
35,0.860000014
36,0.819999993
37,0.800000012
38,0.779999971
39,0.800000012
40,0.860000014
41,0.75999999
42,0.790000021
43,0.810000002
44,0.810000002
45,0.75
46,0.819999993
47,0.810000002
48,0.779999971
49,0.699999988
50,0.779999971
51,0.810000002
52,0.829999983
53,0.810000002
54,0.810000002
55,0.829999983
56,0.75
57,0.779999971
58,0.839999974
59,0.800000012
60,0.829999983
61,0.850000024
62,0.810000002
63,0.75999999
64,0.680000007
65,0.790000021
66,0.75
67,0.839999974
68,0.790000021
69,0.779999971
70,0.819999993
71,0.829999983
72,0.75
73,0.870000005
74,0.839999974
75,0.829999983
76,0.75999999
77,0.850000024
78,0.790000021
79,0.790000021
80,0.790000021
81,0.850000024
82,0.75
83,0.850000024
84,0.810000002
85,0.75999999
86,0.910000026
87,0.75
88,0.779999971
89,0.800000012
90,0.819999993
91,0.819999993
92,0.850000024
93,0.800000012
94,0.839999974
95,0.790000021
96,0.819999993
97,0.779999971
98,0.75
99,0.829999983
100,0.800000012
101,0.810000002
102,0.75999999
103,0.850000024
104,0.870000005
105,0.779999971
106,0.850000024
107,0.829999983
108,0.730000019
109,0.870000005
110,0.860000014
111,0.75
112,0.730000019
113,0.75999999
114,0.74000001
115,0.800000012
116,0.75999999
117,0.800000012
118,0.730000019
119,0.800000012
120,0.829999983
121,0.860000014
122,0.779999971
123,0.829999983
124,0.779999971
125,0.75
126,0.699999988
127,0.800000012
128,0.850000024
129,0.800000012
130,0.75
131,0.779999971
132,0.800000012
133,0.850000024
134,0.839999974
135,0.850000024
136,0.790000021
137,0.75999999
138,0.790000021
139,0.819999993
140,0.75
141,0.790000021
142,0.800000012
143,0.790000021
144,0.75
145,0.75999999
146,0.730000019
147,0.75999999
148,0.829999983
149,0.769999981
150,0.829999983
151,0.839999974
152,0.790000021
153,0.829999983
154,0.850000024
155,0.800000012
156,0.560000002
157,0.769999981
158,0.699999988
159,0.819999993
160,0.790000021
161,0.819999993
162,0.75
163,0.769999981
164,0.790000021
165,0.769999981
166,0.769999981
167,0.769999981
168,0.819999993
169,0.800000012
170,0.810000002
171,0.839999974
172,0.810000002
173,0.75
174,0.870000005
175,0.839999974
176,0.709999979
177,0.779999971
178,0.839999974
179,0.790000021
180,0.800000012
181,0.800000012
182,0.74000001
183,0.810000002
184,0.800000012
185,0.75999999
186,0.800000012
187,0.810000002
188,0.870000005
189,0.810000002
190,0.829999983
191,0.800000012
192,0.860000014
193,0.800000012
194,0.839999974
195,0.850000024
196,0.889999986
197,0.819999993
198,0.839999974
199,0.790000021
200,0.779999971
201,0.839999974
202,0.829999983
203,0.810000002
204,0.829999983
205,0.769999981
206,0.790000021
207,0.819999993
208,0.790000021
209,0.879999995
210,0.790000021
211,0.819999993
212,0.819999993
213,0.800000012
214,0.709999979
215,0.870000005
216,0.800000012
217,0.779999971
218,0.689999998
219,0.829999983
220,0.810000002
221,0.829999983
222,0.800000012
223,0.829999983
224,0.810000002
225,0.800000012
226,0.810000002
227,0.75999999
228,0.810000002
229,0.839999974
230,0.790000021
231,0.850000024
232,0.860000014
233,0.779999971
234,0.829999983
235,0.769999981
236,0.860000014
237,0.800000012
238,0.810000002
239,0.730000019
240,0.819999993
241,0.779999971
242,0.800000012
243,0.810000002
244,0.870000005
245,0.839999974
246,0.839999974
247,0.790000021
248,0.75
249,0.839999974
250,0.829999983
251,0.810000002
252,0.790000021
253,0.769999981
254,0.829999983
255,0.779999971
256,0.800000012
257,0.75
258,0.74000001
259,0.800000012
260,0.790000021
261,0.800000012
262,0.829999983
263,0.75999999
264,0.819999993
265,0.75999999
266,0.829999983
267,0.720000029
268,0.800000012
269,0.790000021
270,0.769999981
271,0.839999974
272,0.790000021
273,0.850000024
274,0.819999993
275,0.810000002
276,0.800000012
277,0.839999974
278,0.75999999
279,0.75
280,0.819999993
281,0.889999986
282,0.75
283,0.829999983
284,0.810000002
285,0.810000002
286,0.720000029
287,0.75
288,0.75
289,0.839999974
290,0.75999999
291,0.769999981
292,0.75999999
293,0.860000014
294,0.839999974
295,0.689999998
296,0.819999993
297,0.75
298,0.779999971
299,0.860000014
